英語,日本語
Cabinet Office,内閣府
the Cabinet Library,内閣文庫
uchikabuto (the inside of armor's helmet),内兜
Uchi-Kanrei (head of Tokuso Family),内管領
Makiko UCHIDATE,内舘牧子
naiki ,内記
Naiki Nyudo,内記入道
NAIKI Jinzaburo,内貴仁三郎
naigi ,内儀
Naiku,内宮
Naiku Uji workshop,内宮宇治工作場
Naiku Gengu,内宮元宮
Naiku Goshoden Munamochibashira (the main pillars of Naiku),内宮御正殿棟持柱
Naiku Kotai-jinja Shrine,内宮皇大神社
naigubu (a special monk who holds a position in the Imperial court),内供奉
naikubu-juzenshi (the ten selected excellent priests for a Buddhist service in the Imperial Court),内供奉十禅師
Naikyobo no Betto (chief of Naikyobo),内教坊別当
Naikyoku,内局
Naiko Kamonkyo Mirror,内行花文鏡
the National Industrial Exhibition,内国勧業博覧会
Uchiyama Eikyu-ji Temple,内山永久寺
naishi (a maid of honor to the Empress),内侍
Naishidokoro,内侍所
theory of priority to domestic security,内治優先論
"udoneri, Central Secretariat officer",内舎人
takumi-no-kami (the head of Bureau of Skilled Artisans),内匠頭
Naishoryo,内匠寮
nai-shoden,内昇殿
Naishobuppo sojo-kechimyaku-fu,内証仏法相承血脈譜
naijosho,内丞相
Naishin (government post),内臣
Imperial Princess,内親王
naijin ,内陣
a horizontal piece of timber of inner sanctum,内陣長押
an inner sanctuary,内陣部分
interference in domestic affairs,内政干渉
informal decision,内請
Uchigawa school,内川流
Naizenshi,内膳司
Naizen no sho,内膳正
interior minister,内相
Uchikura,内蔵
uchikura-gonnosuke,内蔵権助
Kura gon no kami ,内蔵権頭
deligate of the Inner Treasury Office,内蔵使
Kura no suke,内蔵助
Kura no kami ,内蔵頭
Kuraryo,内蔵寮
minister of the center,内大臣
"Naidaijin-fu, Minister of Interior's Office",内大臣府
the title inside the book,内題
informal consent,内諾
naidankata,内談方
inland,内地
Naichi Sanko-shidan (three divisions in inland),内地三個師団
secret Imperial command,内勅
issue an secret Imperial command,内勅降下
naitsu (engage in secret communication),内通
inner shrine,内殿
Uchida,内田
Kuichi UCHIDA,内田九一
Noboru UCHIDA,内田伸
Roan UCHIDA,内田魯庵
Naito,内藤
the Naito family (Nobunari lineage）,内藤（信成系)家
Ienaga NAITO,内藤家長
Okimori NAITO,内藤興盛
Motomori NAITO,内藤元盛
Motoyoshi NAITO,内藤元珍
Motosada NAITO,内藤元貞
Hironori NAITO,内藤弘矩
Kunisada NAITO,内藤国貞
Naito clan,内藤氏
Katsusuke NAITO,内藤勝介
Masaaki NAITO,内藤昌月
Masatoyo Naito,内藤昌豊
Nobusuke NAITO,内藤信承
Nobunari NAITO,内藤信成
Nobumasa NAITO,内藤信正
Masanari NAITO,内藤正成
Kiyonari NAITO,内藤清成
Kiyonaga NAITO,内藤清長
Morisada NAITO,内藤盛貞
Tadatoshi (Joan) NAITO,内藤忠俊（如安）
Tadakatsu NAITO,内藤忠勝
Sadakatsu NAITO,内藤貞勝
Sadamasa NAITO,内藤貞正
Joan NAITO,内藤如安
Kuranokami,内頭蔵
"an inner sanctuary, a hall of worship",内拝殿
naifu,内府
fusuma-e inside of the room,内部の襖絵
internal conflict,内紛
naihosei (the way of measurement to inner of pillar),内法制（柱の内がわの寸法を基準とする）
"naibon, inner stages",内凡
Uchimaro,内麻呂
Interior Ministry,内務局
Ministry of Interior,内務省
Employed engineer of the Interior,内務省お雇い技師
"Police Bureau, Ministry of Interior",内務省警視局
retirement from the Interior,内務省退官
the imperial appointee as technical adviser of the Interior,内務省勅任官技術顧問
engineering bureau of the Interior,内務省土木局
the chief of the engineering bureau in the Interior,内務省土木局長
a decree by the Home Minister,内務大臣布告
Naimyo,内明
Uchino,内野
nairan ,内覧
Nairan-shoku (document inspector who inspects documents presented to the Emperor in advance),内覧職
Dairi Castle Fires,内裏炎上
Dairi Utaawase,内裏歌合
Dairi Gishiki,内裏儀式
Dairi-kogosho,内裏小御所
the main building of the Palace,内裏正殿
building of inner court,内裏造営
reward of building Dairi castle,内裏造営の賞
Dairino,内裏野
Uchisato,内里
Uchizato-Joyo sen,内里城陽線
continental or inland climate,内陸性気候
naginata,薙刀
naginata jutsu,薙刀術
remakes from a pole sword,薙刀直し
naginata-naoshi katana,薙刀直シ刀
naginata toi (fuller),薙刀樋
chihatsu (tonsure),薙髮
Nada,灘
Mansuke NADAYA,灘屋萬助
printing (print-type dyeing),捺染
pan,鍋
Nabeya-cho,鍋屋町
Nabeyaki-udon (noodles served hot in a pan),鍋焼きうどん
Nabechiyo,鍋千代
Nabeshima,鍋島
Nabeshima Clan,鍋島氏
Katsushige NABESHIMA,鍋島勝茂
Katsushige NABESHIMA's second wife,鍋島勝茂継室
Marquis Naohiro NABESHIMA,鍋島直大侯爵
Naoshige NABESHIMA,鍋島直茂
Nabeshima Domain,鍋島藩
Naramitsu,楢光
Sado NARAYAMA,楢山佐渡
Narahisashokun,楢日佐諸君
rope,縄
Nawate,縄手
Nawate-dori Street,縄手通
Jomon period,縄文期
Jomon period,縄文時代
"Four families (Nan, Hoku, Shiki and Kyo)",南・北・式・京の4家
South Africa,南アフリカ
Kosetsu MINAMI,南こうせつ
Minami Biwako Station,南びわ湖駅
South Vietnam,南ベトナム
Minami-ise,南伊勢
Minami Ise-cho Town,南伊勢町
Ichiro MINAMI,南一郎
Minami-ibaraki Station,南茨木 (駅)
Nan-in Temple,南院
Nanin Kokushi,南院国師
Statue of Nanin Kokushi,南院国師像
Shomyo NANPO,南浦紹明
calligraphy done by Nanbo Shomyo,南浦紹明墨蹟
Bunshi NANBO,南浦文之
Naneizan,南叡山
Minami-echizen-cho,南越前町
Nanen-do,南円堂
Minami-Oshu area,南奥州
Nanka Genko,南化玄興
nanga,南画
Minami Aizu Town,南会津町
Nankai,南海
Nankai Wing Bus Nanbu,南海ウイングバス南部
"Nankai Bus Co.,Ltd.",南海バス
Nankai Hawks,南海ホークス
Nankai Rinkan Bus,南海りんかんバス
Nankai Railway,南海鉄道
Nankai Electric Railway,南海電気鉄道
Nankaido,南海道
Nankai Main Line,南海本線
Minamikannon yama (decorative float without drawing a lot for order; enshrining Yoryu kannon (the goddess of Mercy) and Zenzai-doji (Sudhanasresthi-daraka)),南観音山
Nankan Gion Matsuri Festival,南関祇園祭
Nankan Town,南関町
Southern Kanto region,南関東
Minami-Iwakuni Station,南岩国駅
Nangu,南宮
Mt. Nangu,南宮山
Nangu-taisha Shrine,南宮大社
Nanjing,南京
Nanjing City,南京市
Minami-Kyoto High School,南京都高等学校
Nankyo-ritsu,南京律
Nango Interchange,南郷IC
Nango-koen Park,南郷公園
Ice Breaker Shirase,南極観測船「しらせ」
Minami Omi,南近江
Minami Omi Province,南近江国
Minami Ward,南区
Minami Ward Office,南区役所
Minami Kuwada County,南桑田郡
Mikio NANBARA,南原幹雄
Namwon Castle,南原城
Shigeru NANBARA,南原繁
Lake Nanko,南湖
Minamigosho,南御所
minami mido,南御堂
Nankobo,南光坊
Nankobo Tenkai,南光坊天海
Minamiguchi,南口
Minami Kogyo Danchi (the south industrial park),南工業団地
Minami Kogyodanchi-mae,南工業団地 (前)
Nanko Port Town Line,南港ポートタウン線
Minami-Imajo Station,南今庄
Minami-za Theater,南座
the South Fetival,南祭
Nanzan,南山
"Minami Yamashina (Yamashina Ward, Kyoto City)",南山階（みなみやましな、京都市山科区）
Nanzan Institute for Religion and Culture,南山宗教文化研究所
Minamiyamashiro-mura,南山城村
Minami-yamashiro village office,南山城村役場
Minami-yamashiro post office,南山城郵便局
Nanzan-shin school,南山進流
Nanzan-risshu sect,南山律宗
Nanshu-ji Temple,南宗寺
Nanshu,南洲
Nanshu-okina,南洲翁
instructions for descendant of an old man in Nanshu,南洲翁遺訓
Nanshu-jinja Shrine,南洲神社
Nanshu-bunko storage,南洲文庫
Nanshu-bochi cemetery,南洲墓地
Minamikasugacho,南春日町
Nanjo County,南条郡
the Nanjo clan,南条氏
Sadamune NANJO,南条貞宗
southing army,南進論
Minami Library,南図書館
Minami-senri Station,南千里 (駅)
Minami-senrioka,南千里丘
Nanzen-in Temple,南禅院
Nanzen-ji Temple,南禅寺
"Shinjo-in Temle, an annexed temple of Nanzenji-Temle (one of the Official Kyoto Five temples)",南禅寺（京都五山）塔頭の真乗院
the third chief priest of Nanzen-ji Temple,南禅寺の第三世住持
tower gate construction at Nanzen-ji Temple,南禅寺の楼門建造
"Issaikyo sutras, Nanzen-ji Temple",南禅寺一切経
Garan (cathedral) of Nanzen-ji Temple,南禅寺伽藍
precinct of Nanzen-ji Temple,南禅寺境内
Konchi-in subtemple of Nanzen-ji Temple,南禅寺金地院
temple gate of Nanzen-ji Temple,南禅寺山門
"a priest of Nanzen-ji Temple, Sozen JOZAN",南禅寺僧定山祖禅
wall painting at Ohojo of Nanzen-ji-Temple,南禅寺大方丈障壁画
Tenju-an subtemple of Nanzen-ji Temple,南禅寺天授庵
tofu of Nanzen-ji Temple,南禅寺豆腐
Nanzenji group,南禅寺派
"Instruction of Buddhist sanctum, Nanzen-ji Temple",南禅寺仏殿指図
Shocho bhikkhu of Nanzen,南禅比丘正澄
Southern Sung Dynasty,南宋
Emperor Gaozong of Southern Song,南宋の孝宗_
"Hangzhou, Southern Sung",南宋の杭州
Hong Mai of the Southern Song,南宋の洪邁
Southern Sung period,南宋時代
Nanso (the Southern school),南曹
Minami-Kusatsu Station,南草津 (駅)
Baiken MINAMIMURA,南村梅軒
Nantai,南台
Nandai-mon gate ,南大門
Minamidani,南谷
Nantan,南丹
Nantan Parking Area,南丹パーキングエリア
Nantan Police Station,南丹警察署
Nantan Koiki Shinko-kyoku ,南丹広域振興局
Nantan City,南丹市
Nantan city bus,南丹市営バス
"Tonoda Elementary School, Nantan City",南丹市立殿田小学校
"Tonoda Junior High School, Nantan City",南丹市立殿田中学校
Nantan area,南丹地区
Nantan civil engineering office,南丹土木事務所
Nantan healthcare center,南丹保健所
Nanchi Yamatoya,南地大和屋
Southern Dynasty,南朝 (中国)
vassals of the extinct Southern Court,南朝 (日本)遺臣
the Restoration of the Southern Court (Nancho),南朝 (日本)復興
fought against the Southern Court,南朝 (日本)方と戦い
the Southern Court (Japan),南朝（日本)
ｔhe Southern Court group,南朝系
the Southern Court imperial family,南朝皇族
Nanchojounroku,南朝紹運録
search and destroy the Southern Court force,南朝勢掃討
the Southern Court power,南朝勢力
subjugation of the Southern Court,南朝征討
search and destroy the South Court,南朝掃討
the South Court side,南朝側
restoration of the South Court,南朝復興
movement of restoration of the South Court,南朝復興運動
the Southern Court,南朝方
Minami Machi,南町
Minami-Nagaoka Station,南長岡駅
Minami-Karasuma Park,南鳥丸公園
Nanden Daizo-kyo Sutra,南伝大蔵経
Minami-dono Palace,南殿
the sites of Nanden (the southern sanctuary),南殿跡
the Minamitanabe and Hakuta district,南田辺・狛田地区
Nanto,南都
the City of Nara (Nara),南都（奈良）
the Buddhism in the City of Nara,南都の仏教
"Nanto gakuso, Theater",南都楽所
"The Nanto Bank,Ltd.",南都銀行
Nanto Bank Omiya Branch,南都銀行大宮支店
imperial visit to Nanto (Nara),南都御幸
Nanto priests,南都衆徒
Nanto Yakiuchi,南都焼討
Nanto Buddism,南都仏教
Nanto side,南都方
"Nanto-Hokurei, South capital and North mountain",南都北嶺
Nanto Rokushu ,南都六宗
Nanto City,南砺市
a main temple of the Southern lineage,南派の本庵
nanban,南蛮
Nanbanyaki,南蛮焼き
Southren barbarian gimlet,南蛮錐
the European Culture,南蛮文化
trade with Spain and Portugal,南蛮貿易
Nanban school,南蛮流
Minami-Hikone Station,南彦根 (駅)
Minamihama,南浜
Nanbu Line,南武線
the Nanbu clan,南部氏
Nobumitsu NANBU,南部信光
Nobuyuki NANBU,南部信順
Harumasa NANBU,南部晴政
Minabe no sho,南部荘
Nanbu cho,南部町
Nanbu Domain,南部藩
southern French Indochina,南部仏印
Minami-Fukui Station,南福井駅
Minamifukunishi-cho,南福西町
MINAMIBUCHI no Nagakawa,南淵永河
MINABUCHI no Toshina,南淵年名
Minamikata Station,南方駅
Theravada Buddhism,南方仏教
Minamihokke-ji Temple,南法華寺
the founder Sokei NANBOU,南坊宗啓始祖
Nanboroku (books of tea ceremony),南坊録
mixture of various styles of painting,南北合派
Nanboku War,南北戦争
Nanboku Line,南北線
Nanbokucho,南北朝
battle between the Northern and Southern Courts,南北朝の戦い
Nanbokucho Union,南北朝合一
the period of the Northern and Southern Dynasties (China),南北朝時代 (中国)
the period of the Northern and Southern Courts (Japan),南北朝時代 (日本)
unifying Japan in the period of the Northern and Southern Courts,南北朝時代_(日本)統一
establishment of two separate imperial courts represented by different emperors,南北朝成立
Nanbokucho-Seijunron ,南北朝正閏論
Minami Horie-koen Park,南堀江公園
Namu,南無（帰依するの意）
Namu Amida Buddha,南無阿弥陀仏
Namu Shakamuni-butsu,南無釈迦牟尼仏
Namu Myohorenge-kyo,南無妙法蓮華経
Nagiso Town,南木曽町
Minami-Ariji,南有路
Nanyoin dono,南陽院殿
Nan-yang Hui-chung,南陽慧忠
Nanyo Koko (Nanyo High School),南陽高校
Nanyo City,南陽市
Seibu Urban Development Corporation,南陵町
Nanwa Railway,南和鉄道
Kulu country,南瞻部洲
camphor tree timber,楠材
Kojuro KUSUNOKI,楠小十郎
Masayuki KUSUNOKI,楠正行
KUSUNOKI Masashige,楠正成
Ine KUSUMOTO,楠本イネ
KUSUNOKI,楠木
the Kusunoki clan,楠木氏
Masanori KUSUNOKI,楠木正儀
Masatora KUSUNOKI,楠木正虎
Masatsura KUSUNOKI,楠木正行
Masatoki KUSUNOKI,楠木正時
Masakatsu KUSUNOKI,楠木正勝
Masashige KUSUNOKI,楠木正成
Kuzuha district,楠葉
Sainin KUSUBA,楠葉西忍
Kusunoki school,楠流
zenkin,軟錦
zejo (decorative hangings used as a partition inside of a bamboo blind),軟障
"difficult birth, difficult delivery",難産
mastery of utmost difficulty,難勝
Nan-Taiheiki,難太平記
Nanba,難波
Nanba Station,難波駅
the Nanba family,難波家
"""Naniwa Marukomoku"" (a document concerning topography of Naniwa)",難波丸項目
Nanba Gion matsuri Festival,難波祇園祭
"NANIWA no Imiki (later Sukune), a kin of NANIWA no Kishi clan",難波吉士族の難波忌寸（のち宿禰）
Naniwa no Miya,難波宮
Naniwa-kyo,難波京
NANIWA no Tsunefusa,難波経房
Side line of Nanba,難波支流
Munekatsu NANBA,難波宗勝
Munenaga NANBA,難波宗長
Nanba-Asukai school,難波飛鳥井流
Yoritsune NANBA,難波頼経
the Nanba school,難波流
the founder of the Nanba school,難波流祖
Naniwa no muraji,難波連
Ru-da,汝達
February 26th Incident,二・二六事件
two-folded MINO-GAMI,二つ折美濃
Ninomaru (second bailey),二ノ丸
Ninomaru (second defensive）,二の丸
Ninomaru Palace,二の丸御殿
Ninomaru Shoin,二の丸書院
the hall of the second fortress,二の丸殿舍
Ninose,二ノ瀬
Ninose-yuri Trail,二ノ瀬ユリ登山道
Ninose Station,二ノ瀬駅
Ninose settlement,二ノ瀬集落
ninozen (the second tray),二の膳
Ni no torii (the second archway),二の鳥居
Ninomai Dance,二ノ舞
Ninomai no Okina no Monogatari (The Tale of Ninomai no Okina),二の舞の翁の物語
Nii no ama,二位の尼
Nii Dainagon (chief councilor of state),二位大納言
Niidono ,二位殿
two-layer robe,二衣
Nio-mon gate,二王門
Nikai-do hall (the Nikai-do Temple),二階堂
Mitsusada NIKAIDO,二階堂光貞
Yukimitsu NIKAIDO,二階堂行光
Yukimasa NIKAIDO,二階堂行政
Yukimori NIKAIDO,二階堂行盛
Yukimura NIKAIDO,二階堂行村
Yukitada NIKAIDO,二階堂行忠
Yukisada NIKAIDO,二階堂行貞
Nikaido clan,二階堂氏
Moriyuki NIKAIDO,二階堂盛行
Yakushi-do Taniguchi at Nikaido boulevard,二階堂大路薬師堂谷口
Sadamune NIKAIDO,二階堂貞宗
Dosho (Zeen) NIKAIDO,二階堂道昭（是円）
Nikan (two departments),二官
ninomiya,二宮
Nigu-ikko,二宮一光
Keisaku NINOMIYA,二宮敬作
Ninomiya-jinja Shrine,二宮神社
Sontoku NINOMIYA,二宮尊徳
Nikyoku Byobu (folding screens),二曲屏風
one piece of two-folding screen,二曲屏風一隻
Nigatsudo,二月堂
Futami Station,二見 (駅)
Nikenchaya Shuttle Bus,二軒茶屋シャトルバス
Nikenchaya Station,二軒茶屋駅
additional dispatch to two division,二個師団追加派遣
Futarasan-jinja Shrine,二荒山神社
Count Yoshiyuki FUTARA,二荒芳之伯爵
two letters in two mountains,二山二字
Nijuichidai-shu,二十一代集
"""Nijugo zanmai-e""(assembly of the twenty-five concentrations)",二十五三昧会
Niju-go-nichi sai (fair),二十五日祭
25 statues of Bosatsu,二十五菩薩像
The picture door of twenty-five Bodhisattvas coming on purple clouds to welcome the spirits of the dead,二十五菩薩来迎図絵扉
Twenty-five forms of existence,二十五有（う）
the twentythird night wait,二十三夜待ち
Nijushiko-zu Byobu (folding screen with painting depicting 24 filial figures),二十四孝図屏風
Nijuni-sha Shrines,二十二社
twenty-eight benefits,二十八種利益
Nijuhasshuku (Twenty-eight mansions),二十八宿
"Nijuhachibushu, The twenty-eight attendants of Senju Kannon",二十八部衆
one-twentieth tax,二十分の一税
the twentysixth night wait,二十六夜待ち
dual power,二重権力
double fabrics,二重織物
Niju-mon (two-story gate),二重門
two-storied magnificent building,二重楼閣
two vehicles,二乗
Nijo,二条
Nijo Station,二条 (駅)
Tameto NIJO,二条為遠
Tametsura NIJO,二条為貫
Tameko NIJO,二条為子
Tameuji NIJO,二条為氏
Tamemune NIJO,二条為宗
Tameyo NIJO,二条為世
Tamesada NIJO,二条為定
Tamefuyu NIJO,二条為冬
Tamefuji NIJO,二条為藤
Tamemichi NIJO,二条為道
Tameaki NIJO,二条為明
Tameari NIJO,二条為有
Nijoin,二条院
Nijo-in no Sanuki,二条院讃岐
Nijo Station,二条駅
Nijo Station Nishi Guchi (West Exit),二条駅西口
the Nijo Family,二条家
a nephew of the Nijo family,二条家の猶子
head and branch lines of the Nijo family,二条家正嫡流
the Nijo family style,二条家流
Nijo-gawara,二条河原
Nijo Kawara Rakusho,二条河原落書
Nijo Kanpaku,二条関白
Yoshitada NIJO,二条吉忠
Nijo-Kyogoku,二条京極
Nijo-Kyogoku-dono Palace,二条京極殿
Kanemoto NIJO,二条兼基
Nijo-gosho Palace,二条御所
Mitsuhira NIJO,二条光平
Nijo Park,二条公園
Tsunahira NIJO,二条綱平
Moromoto NIJO,二条師基
Mochimoto NIJO,二条持基
Nijo Driving School,二条自動車教習所
Ieko NIJO,二条舎子
Munehiro NIJO,二条宗熙
Atsuko NIJO,二条淳子
Akizane NIJO,二条昭実
Nijo-jo Castle,二条城
East of Nijo-jo Castle,二条城の東方
wall painting at Nijo-jo Castle,二条城障壁画
Nijojo-mae,二条城前
Nijojo-mae Station,二条城前駅
Nijojo Ninomaru-teien Garden,二条城二之丸庭園
"Nijo-jo Castle, North Otemon",二条城北大手門
Nijo shingosho,二条新御所
Nijo-shinchi (Nijo new development area),二条新地
"Daimonji-cho, Nijoshinchi",二条新地大文字町
Nijo-shinsei (government Emperor Nijo takes a direct part in),二条親政
Emperor Nijo faction,二条親政派
Nijojinya-ato (remains of Nijo-jinya),二条陣屋跡
Haruyoshi NIJO,二条晴良
Nariyuki NIJO,二条斉敬
Grand Empress Dowager Nijo,二条太皇太后
Nijo no Omiya,二条大宮
Nijo Ohashi Bridge,二条大橋
Nijo-oji Street,二条大路
Nijo-dori Street,二条通
Nijo-dori Koromonotana-dori,二条通衣棚通
Nijo-dori kudaru,二条通下ル
Nijo-dori Kado (corner of Nijo-dori),二条通角
Nijo-dori Nishinotoin-dori Streets,二条通西洞院通
Nijoteishajo Higashiyama Sanjo Line,二条停車場東山三条線
Nijoteishajo Arashiyama Line,二条停車場嵐山線
Sadayo NIJO,二条定世
Emperor Nijo,二条天皇
Nijo-dono Palace,二条殿
"Oike-dori named after ""Nijodono Oike"" theory",二条殿御池起源説
site of Nijodono Oike,二条殿御池跡
Nijodencho,二条殿町
Nijo Higashinotoin-tei,二条東洞院邸
Nijo wisteria,二条藤
Michihira NIJO,二条道平
the Nijo school of poetry,二条派
Nijo-Kitamiya,二条北宮
Nijo Imperial Villa (Nijo Castle),二条離宮（二条城）
Nijo style,二条流
Yoshimoto NIJO,二条良基
A letter written by Yoshimoto NIJO in his own hand,二条良基自筆書状
Yoshitsune NIJO,二条良経
Yoshizane NIJO,二条良実
Yoshifuyu NIJO,二条良冬
Hiroko NIJO,二条廣子
nijo-sumiro (the interior of the tea room measures two tatami mats in size),二畳隅炉
"nijo daime or two and three-quarters tatami mats size of room in teahouse (a daime is a three-quarter sized tatami mat used for tea ceremony room, a word of yonjo-daime is a tea room arrangement showing a square measure of 2.75-jo in tatami-size)",二畳台目
the tea room measures two tatami mats in size,二畳茶室
duplicity; treachery,二心
"""Two chigos"" (Junichiro TANIZAKI)",二人の稚児（谷崎潤一郎）
futarimai (dance in pairs),二人舞
Nyorin the second,二世の如輪
Futasegawa mountain stream,二瀬川渓流
Futagawa-juku Station (Toyohashi City Aichi Prefecture),二川宿（愛知県豊橋市）
Nikko the second,二祖日興
"the second chief priest, Ryoyu MUTO",二祖無等良雄
Nison-in Temple,二尊院
"second-generation Okeihan ""Rie EMOTO""",二代目おけいはん江本理恵
two major forces,二大勢力
diarchy,二頭政治
nidoshi,二童子
wooden statue of two childen,二童子像
two statues of Nyorai,二如来像
Ninenzaka slope,二寧坂
Ninenzaka slope,二年坂
two woodblocks,二版
Niban-shotai Taicho (commander of Niban platoon),二番小隊隊長
Niban-daitai Shikicho (chief commander of the second battalion),二番大隊指揮長
nibancha （second pick),二番茶
nibanme-mono (second-category plays),二番目物
nihon,二品
nihon (the second of Imperial Princes' ranks) no sojo (a high-ranking priest),二品僧正
"second, much money",二物
Jirozaemon NIMONJIYA,二文字屋次郎左衛門
try one package of two[two packes including one package of try incense,二包内一包試
Nihonmatsu-jo Castle,二本松城
Nihonmatsu Domain,二本松藩
Nihonmatsu-Hantei (Nihonmatsu domain's residence maintained by a daimyo in Edo),二本松藩邸
nihonbori hikichigai (two tracks to make two or more translucent screens or opaque screens slide horizontally along tracks so that when they are closed the stiles overlap),二本彫り引き違い
Nihongi,二本木
Kaeshi in second act (to once lower a curtain the second act to change the scenes),二幕返し
Futamata Station,二俣駅
a two-crop system,二毛作
futa-ai,二藍
Niren- juzu (two loops Juzu),二連
Jiro,二郎
ama,尼
Amagasaki (Amagasaki-ko) Station,尼ヶ崎 （のちの尼崎港) (駅)
nun,尼君
Amagimi (the nun),尼公（あまぎみ）
Amagasaki,尼崎
Amagasaki Station,尼崎駅
Amagasaki City,尼崎市
Amagasaki Branch,尼崎支店
Amagasaki-jo Castle,尼崎城
Amagasaki Danrin,尼崎檀林
Amago,尼子
the Amago remnant corps (a group of retainers set adrift by the downfall of the Amago clan),尼子遺臣団
the Amago family,尼子家
Yoshihisa AMAGO,尼子義久
Amako region,尼子郷
Tsunehisa AMAGO,尼子経久
Takahisa AMAGO,尼子高久
Kunihisa AMAGO,尼子国久
campaign for the restoration of the Amago clan,尼子再興運動
Amago clan,尼子氏
Mochihisa AMAGO,尼子持久
ten brave warriors of the Amago clan,尼子十勇士
Katsuhisa AMAGO,尼子勝久
AMAGO Masahisa,尼子政久
Haruhisa AMAGO,尼子晴久
Sanehisa AMAGO,尼子誠久
Sobe AMAKO,尼子騒兵衛
"nunnery, convent",尼寺
Nisotetsu,尼宗哲
ama shogun ,尼将軍
Amazuka mound,尼塚
Ama Nyudo,尼入道
ama-monzeki,尼門跡
Amamonzeki-ji Temple (a temple run by nuns of noble women),尼門跡寺
Niranba,尼藍婆
"Nioi-odoshi (armor with odoshi using dark colored strings in upper part, light colored strings in lower part gradationally)",匂威
Nioumiya,匂宮
Nioumiya three folded books,匂宮三帖
the Koto clan,匂当氏
Niou Hyobukyo,匂兵部卿
Nikujaga ,肉じゃが
"Niju-shiko, painting",廿四孝図
"tripartite alliance of Japan, Qing and Korea",日・清・韓の三国同盟
Soviet-Japanese Neutrality Pact,日ソ中立条約
Hinooka,日ノ岡
Hinooka Station,日ノ岡駅
Hinookagoe,日ノ岡越
Hinooka bus stop,日ノ岡停留所
Hinooka-toge Pass,日ノ岡峠
Hinomaru (national flag of Japan),日の丸
Hinomaru Bus limited ,日ノ丸自動車
Hinomaru Limousine,日の丸自動車興業
Nichiin,日印
Hikage,日影
the Anglo-Japanese Alliance,日英同盟
The Japan-British Exhibition,日英博覧会
Nichien,日遠
Nichio,日奥
Kusakabe church,日下部教会
Kusakabe mura,日下部村
KUSAKABE no Toshisada,日下部利貞
daily duty in ten thousand times,日課一万遍
Nikkai,日海
Nikkatsu,日活
Nikkatsu Studio,日活撮影所
Nikken,日乾
holy priest Nikkan,日乾上人
Hiboshi Daikon (sun-dried daikon radish),日干し大根
sun-dry bricks (adobe),日干し煉瓦（アドベ）
"""Nikkan shu"" (Collection of Japanese views)",日観集
Center for Japan-Korea Local Governance Study Center for Japan-Korea Local Governance Study,日韓地方自治研究センター
"diary ""Kikki""",日記「吉記」
'The Journal of Socho' (Socho shuki),日記「宗長手記」
"diary, ""Chuyu-ki""",日記『中右記』
"""Teishin-ko Ki"", The Diary of Teishinko",日記『貞信公記』
nikki no ie,日記の家
secretary,日記役
Nikkatsu,日吉
Hiyoshi Dam,日吉ダム
Hiyoshi Dam Marathon,日吉ダムマラソン大会
Hiyoshi Station,日吉駅
Hiyoshimaru,日吉丸
a folding screen of Niyoshi Sannosairei,日吉山王祭礼屏風
Hiyoshi Sannō Mandala,日吉山王曼荼羅
Hiyoshi Branch,日吉支所
Hiyoshi-sha Shrine,日吉社
Hiyoshi-jinja Shrine,日吉神社
shotei-zukuri style ,日吉造(聖帝造、山王造)
Hiyoshi-taisha Shrine,日吉大社
Hiyoshi-cho,日吉町
Hiyoshi Post Office,日吉郵便局
Nikko,日興
Nichigo,日郷
Nichigin (a disciple of Nichigyo),日銀（日尭の弟子）
Hinokuma-jo Castle,日隈城
Nikkei,日慶
Nikkyo,日経
Nikkei Inc.,日経新聞社
Nikken,日賢
Nikken,日顕
Nikken Hoshu,日顕法主
Higiri Jizo,日限地蔵
Hinomisaki-jinja Shrine,日御碕神社
Nikko City Bus,日交シティバス
Nikko,日光
The Mausoleums at Nikko,日光の本廟
Nikko Ichimonji,日光一文字
Standing statues of Suryaprabha and Candraprabha,日光月光菩薩立像
Nikko bugyo,日光御奉行
Nikko-zan Rinno-ji Temple,日光山輪王寺
Nikko City,日光市
Nikko Jizo,日光地蔵
Nikko Tosho-gu Shrine,日光東照宮
Nikko Toshogu Shugo,日光東照宮守護
Yomeimon Gate of the Nikko Toshogu Shrine,日光東照宮陽明門
Nikko Bosatsu,日光菩薩
Nikko-Bosatsu-zo,日光菩薩像
Nikko bugyo,日光奉行
Nikko Yayoi Matsuri Festival,日光弥生祭
Hyuga,日向
Hyuga Province,日向国
Governor of Hyuga Province,日向国国司
Hinatasan,日向山
Hinatasan Ryosen-ji Temple,日向山霊山寺
Governor of Hyuga Province,日向守
Himukai-daijingu Shrine,日向大神宮
Hinata-yakushi Temple,日向薬師
Nikko,日講
"the lord of Tedori-jo Castle, Hidaka County (Wakayama Prefecture)",日高郡 (和歌山県)手取城城主
Hineno-sho,日根野荘
Nisska-shuku Station (Kakegawa City Shizuoka Prefecture),日坂宿（静岡県掛川市）
Nissan FUGA,日産・フーガ
Nissan Prince Royal,日産・プリンスロイヤル
"Nissan Diesel Mortor Co., Ltd.",日産ディーゼル
Nissan Technical School Kyoto,日産学園京都自動車専門学校 (専門学校日産京都自動車大学校)
"Nissan Motor Co., Ltd.",日産自動車
"Nissan shatai Co., Ltd.",日産車体
